name	publish_year	writers	keyword
To Kill a Mockingbird	1960	Harper Lee	classic
1984	1949	George Orwell	dystopian
Pride and Prejudice	1813	Jane Austen	romance
The Great Gatsby	1925	F. Scott Fitzgerald	classic
Moby-Dick	1851	Herman Melville	adventure
War and Peace	1869	Leo Tolstoy	historical
The Catcher in the Rye	1951	J.D. Salinger	coming-of-age
The Hobbit	1937	J.R.R. Tolkien	fantasy
Brave New World	1932	Aldous Huxley	dystopian
The Odyssey	-800	Homer	epic
pedram	1403	pedram-zamaninejad	haji
sam	1970	tahmasebi	july
ali	2032	mohamad	emam
foad	2022	jafar	alieee
foad	2022	jafar	alieee
